address,before_optimized_token,optimized_80p_token,optimized_50_token,optimize_20p_token
0x05c7065d644096a4e4c3fe24af86e36de021074b,1501,1196,773,308
0x05cf67329a262818e67c080e9d511a34d36152c0,1524,1205,736,294
0x05d199c8a245d03c30b0b920e64dba76ea6d9710,1501,1177,709,281
0x05d379b48A8622ae4018309E116420Db4a38A225,971,761,463,182
0x05d3f719b45866da98059436a4baa33596bf2ad0,1588,1274,796,304
0x05d5cd67b6274ace2eb72a17beafdb06bdd9fca3,682,530,314,122
0x05e2555a234c5cc36d86406211fb2dd7fa6a5f63,1258,969,606,256
0x05e75b895d04b4026ec5567296790d63c917323a,1069,847,520,202
0x05eb2cd16d6407d69081d4748716e8bc6fc9d72f,1069,847,520,202
0x05f4d78f7f42cc62a5b3a7e5abfe5eb3ff4ca1d3,1543,1216,745,300
0x05fa56daf3c7496854bf685e7f3f435f87589e58,1526,1208,734,294
0x05fab99daeb0b9179d66d4dfd5cbb57a9d73c4e5,1501,1177,709,281
0x05fceB069136e291f5241753E8E5ad2B55a372d6,1371,1076,642,225
0x05feb3b6c5fc0226eaba3f2354de0a79eb7d961a,1493,1151,694,287
0x060d0b85c8a352255cdfbbe8c910a00288f2a85a,1072,856,519,202
0x06117df6a48d94402a2ccace1fb01c78328c95e4,1069,847,520,202
0x06147110022b768ba8f99a8f385df11a151a9cc8,1509,1202,778,323
0x0614e57bbc71cd0b15217152d4b07af5e717d4ef,1486,1187,709,257
0x06295aDBd4D822Cf7CD033B597093c2dD06D349D,1131,885,520,219
0x062d6ec3099208fd4a0e0ce4773e81f2b322d9d4,1496,1177,728,298
0x06300cec31cf8edf74a17dac79cbc66355113179,1506,1169,723,291
0x06308b924dc8fe805bd28d3170b7c8b9909e4eba,1581,1273,784,315
0x06490802a5628eea6d701d02bd7db7f42b9208dc,1069,847,520,202
0x064ccc4e93d4fd48b4064c76a15da17247528b23,1551,1211,762,309
0x0661f61a286eb1f4383c5128b3178a6809eebf6c,1527,1174,729,284
0x066420ff2af331b3f7c1a5925121e068c69614df,1520,1226,726,273
0x066b2063d4bd8cade177c55de659884c40bf2b8f,1613,1268,791,308
0x066dc885fd8ed7a6e8adcafcea40621a86367fd3,1085,855,498,208
0x066eee2be6388f8c19983185906ed89724c7b4cd,1503,1189,720,279
0x068696A3cf3c4676B65F1c9975dd094260109d02,1489,1185,754,307
0x06a336b88d72f471bb54438c42ecb1f9f3cf7df7,1584,1278,777,319
0x06a7b44045c0d7999bdc711d3b04fbe1d5490796,1370,1066,670,260
0x06b39e8fddaa73813ac07a1e9752dc4249f9c88a,1511,1227,801,324
0x06ba669680584b8bf8be2df362cfcf10a7430085,985,769,451,175
0x06Bb6701983E126f31a4C20d6bECB12dfD70709E,1139,921,578,227
0x06be72c75867bb31e546575cc79317cf82cc4115,1525,1208,741,301
0x06Cd2eEF7497911037ed631CAe1ecb307B4D4de1,1493,1186,717,287
0x06d191c4bc47138d5d79eb881deea86c93e6603b,1581,1240,762,298
0x06d3c687d94a6b15076fbbaff1ca73e3a674b402,1518,1189,754,316
0x06d70ba8fb76c0f86896d82a78a4b8da85462906,1305,1027,629,251
0x06ddef90c123b166769c2b4dfdfdf7854a72b036,1504,1195,767,315
0x06ecbdacda591a378c66dfd297a911b3ca6f3217,852,671,400,164
0x06Ee3390532f493B4C3a41aA6E396ec750C038d7,1080,862,518,202
0x070ab8286ccb4ff37c1945a0f17fa69347453169,1112,861,531,209
0x0712e1506f9bf1c66c8ba997ff1bf998a057d536,1069,847,520,202
0x071d9bb8f35685137633134dfe41415dd0b4308d,883,711,439,174
0x0723105914f7050151e5f8b941e09f826b11f6b8,1494,1191,735,292
0x0729377becbd653b9f14fbf2956cfd317bf2afdd,906,713,419,162
0x072e07394a4a0446b3c8f6cb6675f315c8729501,1519,1222,779,313
0x0732673feae6ac9899cf078146ebb157ab264099,14,10,5,5
0x073d13fe4d79896a59fe904b8d8ebf7a2f607378,1305,1027,629,251
0x073D6621E9150bFf9d1D450caAd3c790b6F071F2,1485,1220,879,409
0x07536201e0c4c7751c9cfed79f1bf5dba4772c9e,238,191,113,44
0x075a0f607a3072e748ef4bde2cbffe4db60268e9,1492,1179,714,292
0x075a5d77E17502ABa0388746aA229BB33682f521,1510,1189,754,294
0x075e3b0912f61fd347900c8130a253f29e4c7201,883,711,439,174
0x0766315FC8257F890B683b5F9fAA9875c7846b4D,1514,1213,736,288
0x076719c05961a0c3398e558e2199085d32717ca6,1516,1199,765,313
0x076C97e1c869072eE22f8c91978C99B4bcB02591,1528,1196,740,296
0x076ce20cafa1eed53dea8f34079b4bb31cc5c503,1592,1254,749,295
0x0772928b3dC59ACAD8783F01506fE2CbA4f6A775,1487,1172,748,299
0x0776aa01b3e5efc2c403d548ca26007c155f1bc9,1538,1231,748,299
0x07837872a605461981127653c6d21e45c9cf1805,1523,1202,756,296
0x0783e1ab0f36512ca4b1c883a98cbea98566946d,1645,1281,820,364
0x078886b1cbd81941a88cee842971bbc7cd91e069,1069,847,520,202
0x07995e463F8957B70d683ADDd00a695ba83bb324,1521,1192,729,290
0x079b9e911109ee8518A71266fEBA7CAfB748EE5A,1534,1188,726,293
0x079c8219eb6d9a3ac71035b365a6f61133fca05d,1525,1208,741,301
0x07a58629AAF3e1A0d07D8f43114B76BD5EEe3B91,1561,1242,747,299
0x07be17b2695881fa100e92815edcff0b042b4a8c,1069,847,520,202
0x07c5b1e4391fcdfc6c12548448aeee30a3793079,1433,1131,696,273
0x07c832778f2b54ff373b0a59d848b3fbc4939f34,1516,1212,732,289
0x07d6c9b63dc0af6bdb32e924fc4e1a689391d230,53,43,27,14
0x07d8302a5115653408f97d2f59c65be88ec1a352,1557,1228,748,293
0x07E040D474a584cD2E7e4A819fA18420BeB5Eb4f,1513,1199,679,277
0x07e76a4c93ea197cb578fef37d046972890df61b,1506,1191,745,297
0x07f2a3ac67517b1d2b777d7f61d943c4b9d359d0,1381,1067,662,283
0x07f8290737585459df99f20aa322d6cc8eda93c3,1525,1208,741,301
0x0824d3c0445a0200ed69aeb129e5601108af2192,1069,847,520,202
0x082731cfe45a50e43eb7af6fda41ecefd497f25c,1322,1035,633,248
0x083da6ad785894d4f249236ec52c13ca3c689ca7,653,510,301,119
0x0848078b2fdd325f56c7d4dc1856e06ece831fa8,1501,1177,709,281
0x0848e84Aa70274c1E51D71564bde2211eE0406F7,1511,1201,765,312
0x0850fd76fa34a1009e31a689b45aee9d3c71b121,1318,1073,691,296
0x085bf17D6c557254D0370514B97d16307B8f0775,1476,1167,733,288
0x08776f41d8507ae16327a2edb86069c74e3453d2,1581,1265,782,313
0x089431F295b58c17C0b1754Be2e15d706e990151,779,612,373,146
0x089a6d83282fb8988a656189f1e7a73fa6c1cac2,1501,1194,760,309
0x08AD34f1A18285Bf7BAC2c68d0B7017a423FE1de,565,437,263,111
0x08aecd1d0470cd6facd1df229f8763e40e830ca3,1340,1084,663,266
0x08B63cBC9589CcDcaf8c801053E6FA9663331250,1486,1204,754,315
0x08c5a77bf3d3bf96fcad0f17d5a44f013f983af1,1036,807,480,183
0x08cdcf9ba0a4b5667f5a59b78b60fbefb145e64c,1529,1203,754,305
0x08cee0ab11fe46e29c539509f25bcbda2f70e2bf,1532,1227,759,303
0x08d01228a985b3a86a993342436fcb411b43a312,195,135,92,48
0x08d109b4be6d131acacddd6fb6fa6f93e7ec72fe,589,460,287,104
0x08d32b0da63e2C3bcF8019c9c5d849d7a9d791e6,1507,1192,740,297
0x08df2b3be10f7e09881dc2cbdd9afafe048607ed,1543,1216,745,300
0x08e1b742aa2b585eaa6021fbe380f3b6fef5d914,1619,1259,777,322
0x08e836f7d4804d39e798b6459fa54543f260d4c0,1485,1171,691,290
0x08ec0c80d98ffc16397b09db8b69b9fae9714915,1265,993,608,238
